id,date,store_nbr,family,predicted_sales
3000888,2017-08-16,1,0,12669.356
3002670,2017-08-17,1,0,11871.89
3004452,2017-08-18,1,0,11908.943
3006234,2017-08-19,1,0,14492.2705
3008016,2017-08-20,1,0,14761.646
3009798,2017-08-21,1,0,17260.96
3011580,2017-08-22,1,0,15817.292
3013362,2017-08-23,1,0,12016.07
3015144,2017-08-24,1,0,15375.964
3016926,2017-08-25,1,0,15553.257
3018708,2017-08-26,1,0,18287.287
3020490,2017-08-27,1,0,18695.363
3022272,2017-08-28,1,0,17009.645
3024054,2017-08-29,1,0,16093.763
3025836,2017-08-30,1,0,15889.654
3027618,2017-08-31,1,0,15804.766
3000889,2017-08-16,1,1,12669.356
3002671,2017-08-17,1,1,11871.89
3004453,2017-08-18,1,1,11908.943
3006235,2017-08-19,1,1,14492.2705
3008017,2017-08-20,1,1,14761.646
3009799,2017-08-21,1,1,17260.96
3011581,2017-08-22,1,1,15817.292
3013363,2017-08-23,1,1,12016.07
3015145,2017-08-24,1,1,15375.964
3016927,2017-08-25,1,1,15553.257
3018709,2017-08-26,1,1,18287.287
3020491,2017-08-27,1,1,18695.363
3022273,2017-08-28,1,1,17009.645
3024055,2017-08-29,1,1,16093.763
3025837,2017-08-30,1,1,15889.654
3027619,2017-08-31,1,1,15804.766
3000890,2017-08-16,1,2,13547.463
3002672,2017-08-17,1,2,12172.378
3004454,2017-08-18,1,2,12209.43
3006236,2017-08-19,1,2,14792.759
3008018,2017-08-20,1,2,15062.135
3009800,2017-08-21,1,2,17561.443
3011582,2017-08-22,1,2,15817.292
3013364,2017-08-23,1,2,12316.557
3015146,2017-08-24,1,2,15375.964
3016928,2017-08-25,1,2,15553.257
3018710,2017-08-26,1,2,18587.771
3020492,2017-08-27,1,2,18995.848
3022274,2017-08-28,1,2,17310.129
3024056,2017-08-29,1,2,16394.252
3025838,2017-08-30,1,2,15889.654
3027620,2017-08-31,1,2,16105.254
3000891,2017-08-16,1,3,13981.799
3002673,2017-08-17,1,3,12978.25
3004455,2017-08-18,1,3,12886.735
3006237,2017-08-19,1,3,15506.484
3008019,2017-08-20,1,3,16332.779
3009801,2017-08-21,1,3,18220.42
3011583,2017-08-22,1,3,16580.297
3013365,2017-08-23,1,3,13300.562
3015147,2017-08-24,1,3,16681.03
3016929,2017-08-25,1,3,6889.3516
3018711,2017-08-26,1,3,9079.414
3020493,2017-08-27,1,3,20662.352
3022275,2017-08-28,1,3,8389.681
3024057,2017-08-29,1,3,7414.5083
3025839,2017-08-30,1,3,7124.666
3027621,2017-08-31,1,3,7135.8413
3000892,2017-08-16,1,4,12148.804
3002674,2017-08-17,1,4,11351.337
3004456,2017-08-18,1,4,11344.025
3006238,2017-08-19,1,4,13026.2295
3008020,2017-08-20,1,4,13281.198
3009802,2017-08-21,1,4,16902.223
3011584,2017-08-22,1,4,15458.554
3013366,2017-08-23,1,4,11495.518
3015148,2017-08-24,1,4,14855.412
3016930,2017-08-25,1,4,14986.207
3018712,2017-08-26,1,4,16819.115
3020494,2017-08-27,1,4,17212.783
3022276,2017-08-28,1,4,16490.152
3024058,2017-08-29,1,4,15572.135
3025840,2017-08-30,1,4,15366.972
3027622,2017-08-31,1,4,15282.083
3000893,2017-08-16,1,5,13249.675
3002675,2017-08-17,1,5,12226.87
3004457,2017-08-18,1,5,12299.525
3006239,2017-08-19,1,5,13947.341
3008021,2017-08-20,1,5,14751.226
3009803,2017-08-21,1,5,18024.273
3011585,2017-08-22,1,5,16356.425
3013367,2017-08-23,1,5,12572.056
3015149,2017-08-24,1,5,15136.68
3016931,2017-08-25,1,5,15845.094
3018713,2017-08-26,1,5,17659.22
3020495,2017-08-27,1,5,18682.809
3022277,2017-08-28,1,5,16771.414
3024059,2017-08-29,1,5,16470.012
3025841,2017-08-30,1,5,16242.504
3027623,2017-08-31,1,5,16114.885
3000894,2017-08-16,1,6,11505.7295
3002676,2017-08-17,1,6,10708.264
3004458,2017-08-18,1,6,10700.951
3006240,2017-08-19,1,6,12383.155
3008022,2017-08-20,1,6,12638.124
3009804,2017-08-21,1,6,16259.149
3011586,2017-08-22,1,6,14815.4795
3013368,2017-08-23,1,6,10852.443
3015150,2017-08-24,1,6,14212.338
3016932,2017-08-25,1,6,14343.135
3018714,2017-08-26,1,6,16176.045
3020496,2017-08-27,1,6,16569.71
3022278,2017-08-28,1,6,15847.073
3024060,2017-08-29,1,6,14929.062
3025842,2017-08-30,1,6,14723.898
3027624,2017-08-31,1,6,14639.01
3000895,2017-08-16,1,7,12961.041
3002677,2017-08-17,1,7,11583.796
3004459,2017-08-18,1,7,11576.482
3006241,2017-08-19,1,7,13376.231
3008023,2017-08-20,1,7,14035.151
3009805,2017-08-21,1,7,17165.023
3011587,2017-08-22,1,7,15937.536
3013369,2017-08-23,1,7,11952.16
3015151,2017-08-24,1,7,15305.834
3016933,2017-08-25,1,7,15219.291
3018715,2017-08-26,1,7,17161.74
3020497,2017-08-27,1,7,18039.734
3022279,2017-08-28,1,7,16961.752
3024061,2017-08-29,1,7,16019.87
3025843,2017-08-30,1,7,15752.843
3027625,2017-08-31,1,7,15699.381
3000896,2017-08-16,1,8,6951.9106
3002678,2017-08-17,1,8,11784.109
3004460,2017-08-18,1,8,11810.875
3006242,2017-08-19,1,8,13009.593
3008024,2017-08-20,1,8,13846.331
3009806,2017-08-21,1,8,17796.088
3011588,2017-08-22,1,8,16059.096
3013370,2017-08-23,1,8,12289.47
3015152,2017-08-24,1,8,15280.808
3016934,2017-08-25,1,8,15292.414
3018716,2017-08-26,1,8,16666.686
3020498,2017-08-27,1,8,18039.734
3022280,2017-08-28,1,8,16966.36
3024062,2017-08-29,1,8,16019.87
3025844,2017-08-30,1,8,15729.666
3027626,2017-08-31,1,8,15698.225
3000897,2017-08-16,1,9,12682.972
3002679,2017-08-17,1,9,11583.796
3004461,2017-08-18,1,9,5870.6743
3006243,2017-08-19,1,9,13305.929
3008025,2017-08-20,1,9,14117.817
3009807,2017-08-21,1,9,17157.02
3011589,2017-08-22,1,9,15713.3545
3013371,2017-08-23,1,9,11961.826
3015153,2017-08-24,1,9,15304.678
3016935,2017-08-25,1,9,5917.785
3018717,2017-08-26,1,9,17089.773
3020499,2017-08-27,1,9,18039.734
3022281,2017-08-28,1,9,16961.752
3024063,2017-08-29,1,9,15826.935
3025845,2017-08-30,1,9,15599.43
3027627,2017-08-31,1,9,15544.812
3000898,2017-08-16,1,10,11716.689
3002680,2017-08-17,1,10,10505.367
3004462,2017-08-18,1,10,12016.957
3006244,2017-08-19,1,10,12189.927
3008026,2017-08-20,1,10,12444.8955
3009808,2017-08-21,1,10,16211.184
3011590,2017-08-22,1,10,14767.515
3013372,2017-08-23,1,10,10791.803
3015154,2017-08-24,1,10,14009.441
3016936,2017-08-25,1,10,15642.096
3018718,2017-08-26,1,10,15973.15
3020500,2017-08-27,1,10,16366.816
3022282,2017-08-28,1,10,15799.106
3024064,2017-08-29,1,10,14881.096
3025846,2017-08-30,1,10,14653.591
3027628,2017-08-31,1,10,14436.113
3000899,2017-08-16,1,11,11716.689
3002681,2017-08-17,1,11,10505.367
3004463,2017-08-18,1,11,10507.721
3006245,2017-08-19,1,11,12189.927
3008027,2017-08-20,1,11,12444.8955
3009809,2017-08-21,1,11,16211.184
3011591,2017-08-22,1,11,14767.515
3013373,2017-08-23,1,11,10791.803
3015155,2017-08-24,1,11,14009.441
3016937,2017-08-25,1,11,14421.504
3018719,2017-08-26,1,11,15973.15
3020501,2017-08-27,1,11,16366.816
3022283,2017-08-28,1,11,15799.106
3024065,2017-08-29,1,11,14881.096
3025847,2017-08-30,1,11,14934.857
3027629,2017-08-31,1,11,14717.382
3000900,2017-08-16,1,12,7417.0083
3002682,2017-08-17,1,12,6689.332
3004464,2017-08-18,1,12,6501.241
3006246,2017-08-19,1,12,7639.4746
3008028,2017-08-20,1,12,15451.991
3009810,2017-08-21,1,12,18614.03
3011592,2017-08-22,1,12,17083.121
3013374,2017-08-23,1,12,6813.1904
3015156,2017-08-24,1,12,6270.1626
3016938,2017-08-25,1,12,6252.2607
3018720,2017-08-26,1,12,7555.3545
3020502,2017-08-27,1,12,19128.748
3022284,2017-08-28,1,12,8186.3994
3024066,2017-08-29,1,12,7209.097
3025848,2017-08-30,1,12,6783.0303
3027630,2017-08-31,1,12,6848.866
3000901,2017-08-16,1,13,12085.278
3002683,2017-08-17,1,13,11248.858
3004465,2017-08-18,1,13,11251.213
3006247,2017-08-19,1,13,12861.248
3008029,2017-08-20,1,13,13116.217
3009811,2017-08-21,1,13,16861.037
3011593,2017-08-22,1,13,15417.37
3013375,2017-08-23,1,13,11441.658
3015157,2017-08-24,1,13,14752.933
3016939,2017-08-25,1,13,14883.729
3018721,2017-08-26,1,13,16644.467
3020503,2017-08-27,1,13,17038.135
3022285,2017-08-28,1,13,16448.963
3024067,2017-08-29,1,13,15530.95
3025849,2017-08-30,1,13,15303.445
3027631,2017-08-31,1,13,15014.848
3000902,2017-08-16,1,14,12085.278
3002684,2017-08-17,1,14,11248.858
3004466,2017-08-18,1,14,11251.213
3006248,2017-08-19,1,14,12861.248
3008030,2017-08-20,1,14,13116.217
3009812,2017-08-21,1,14,16861.037
3011594,2017-08-22,1,14,15417.37
3013376,2017-08-23,1,14,11441.658
3015158,2017-08-24,1,14,14752.933
3016940,2017-08-25,1,14,14883.729
3018722,2017-08-26,1,14,16644.467
3020504,2017-08-27,1,14,17038.135
3022286,2017-08-28,1,14,16448.963
3024068,2017-08-29,1,14,15530.95
3025850,2017-08-30,1,14,15303.445
3027632,2017-08-31,1,14,15014.848
3000903,2017-08-16,1,15,12944.166
3002685,2017-08-17,1,15,11248.858
3004467,2017-08-18,1,15,11251.213
3006249,2017-08-19,1,15,13142.514
3008031,2017-08-20,1,15,13116.217
3009813,2017-08-21,1,15,16861.037
3011595,2017-08-22,1,15,15417.37
3013377,2017-08-23,1,15,11441.658
3015159,2017-08-24,1,15,15034.201
3016941,2017-08-25,1,15,14883.729
3018723,2017-08-26,1,15,16925.732
3020505,2017-08-27,1,15,17038.135
3022287,2017-08-28,1,15,16448.963
3024069,2017-08-29,1,15,15530.95
3025851,2017-08-30,1,15,15584.714
3027633,2017-08-31,1,15,15296.115
3000904,2017-08-16,1,16,12957.491
3002686,2017-08-17,1,16,12107.747
3004468,2017-08-18,1,16,11532.48
3006250,2017-08-19,1,16,12861.248
3008032,2017-08-20,1,16,13397.482
3009814,2017-08-21,1,16,17660.248
3011596,2017-08-22,1,16,16276.255
3013378,2017-08-23,1,16,12300.547
3015160,2017-08-24,1,16,15611.822
3016942,2017-08-25,1,16,15682.941
3018724,2017-08-26,1,16,17481.25
3020506,2017-08-27,1,16,17038.135
3022288,2017-08-28,1,16,16730.23
3024070,2017-08-29,1,16,16389.84
3025852,2017-08-30,1,16,16162.334
3027634,2017-08-31,1,16,15844.331
3000905,2017-08-16,1,17,12085.278
3002687,2017-08-17,1,17,11248.858
3004469,2017-08-18,1,17,11251.213
3006251,2017-08-19,1,17,12861.248
3008033,2017-08-20,1,17,13116.217
3009815,2017-08-21,1,17,16861.037
3011597,2017-08-22,1,17,15417.37
3013379,2017-08-23,1,17,11441.658
3015161,2017-08-24,1,17,14752.933
3016943,2017-08-25,1,17,14883.729
3018725,2017-08-26,1,17,16644.467
3020507,2017-08-27,1,17,17038.135
3022289,2017-08-28,1,17,16448.963
3024071,2017-08-29,1,17,15530.95
3025853,2017-08-30,1,17,15303.445
3027635,2017-08-31,1,17,15014.848
3000906,2017-08-16,1,18,13181.674
3002688,2017-08-17,1,18,12121.072
3004470,2017-08-18,1,18,12123.424
3006252,2017-08-19,1,18,13771.035
3008034,2017-08-20,1,18,14509.922
3009816,2017-08-21,1,18,17741.25
3011598,2017-08-22,1,18,16289.579
3013380,2017-08-23,1,18,12313.871
3015162,2017-08-24,1,18,15625.147
3016944,2017-08-25,1,18,15755.941
3018726,2017-08-26,1,18,17481.25
3020508,2017-08-27,1,18,18431.84
3022290,2017-08-28,1,18,17321.174
3024072,2017-08-29,1,18,16330.164
3025854,2017-08-30,1,18,16102.659
3027636,2017-08-31,1,18,15844.331
3000907,2017-08-16,1,19,12085.278
3002689,2017-08-17,1,19,11248.858
3004471,2017-08-18,1,19,11251.213
3006253,2017-08-19,1,19,12861.248
3008035,2017-08-20,1,19,13116.217
3009817,2017-08-21,1,19,16861.037
3011599,2017-08-22,1,19,15417.37
3013381,2017-08-23,1,19,11441.658
3015163,2017-08-24,1,19,14752.933
